ts,row,request_id,status_code,success,latency_ms,retries,error_category,error_detail,response_preview,request_hash
2025-08-11T17:02:15+09:00,3,req_3_1683039325271092906,0,false,0,0,validation_error,Row validation failed,,
2025-08-11T17:02:21+09:00,1,req_1_9185410712958286334,0,false,7478,3,dns_error,"Post ""https://api.example.com/users"": dial tcp: lookup api.example.com: no such host",,
2025-08-11T17:02:22+09:00,2,req_2_4156386645414320411,0,false,7738,3,dns_error,"Post ""https://api.example.com/users"": proxyconnect tcp: dial tcp: lookup proxy.example.com: no such host",,
2025-08-11T17:02:24+09:00,4,req_4_4592882207915756472,0,false,9506,3,dns_error,"Post ""https://api.example.com/users"": dial tcp: lookup api.example.com: no such host",,
